tic_id,pl_name,hostname,pl_orbper,pl_trandur,pl_trandep,pl_tranmid,pl_rade,st_rad,ra,dec,sy_dist,sy_tmag
"TIC 268060310","Kepler-949 b","Kepler-949",8.68930729600,2.5913000,0.11170000,2454966.66108700,2.91000000,0.860000,298.6079128,46.4536600,486.10500000,13.9076000
"TIC 4918918","Wolf 327 b","Wolf 327",0.57347450000,0.9004508,0.08183903,2459252.98110000,1.24000000,0.406000,148.3783199,35.5705480,28.53210000,10.7818000
"TIC 32499655","HATS-44 b","HATS-44",2.74390040000,1.6512000,1.38523980,2456931.11384000,11.96000300,0.847000,84.3267559,-27.9725758,446.03500000,13.5452000
"TIC 237158274","Kepler-132 b","Kepler-132",6.17819600000,3.2640000,0.01019000,2455001.86198000,1.21000000,1.178000,283.2358100,41.3430370,349.54900000,11.3470000
"TIC 388811663","K2-212 b","K2-212",9.79564700000,2.5992000,0.12797000,2457399.64109000,2.65000000,0.678000,18.4241015,3.0970732,109.21800000,11.7603000
"TIC 103751498","Qatar-8 b","Qatar-8",3.71495000000,4.0272000,1.26200000,2458210.83980000,14.40356500,1.315000,157.4123405,70.5270835,281.49800000,10.9101000
"TIC 137903329","Kepler-74 b","Kepler-74",7.34071100000,3.0820000,0.86795000,2455187.56737000,10.76000000,1.120000,293.0925275,41.3555095,1177.55000000,13.9154000
"TIC 380255458","K2-140 b","K2-140",6.56918800000,3.8100000,1.55700000,2457588.28509000,13.56286665,1.060000,188.1373172,-9.6076115,347.91700000,12.0213000
"TIC 397052808","EPIC 201595106 b","EPIC 201595106",0.87724000000,1.0008000,0.02500000,2457583.04429000,1.56500000,0.980000,183.7203635,1.9681688,232.10000000,11.2023000
"TIC 121215710","Kepler-1581 b","Kepler-1581",6.28385491000,4.1240000,0.00357000,2454966.19997000,0.80000000,1.230000,287.3713199,39.6036225,493.17500000,11.9361000
"TIC 27239696","Kepler-464 b","Kepler-464",7.25696522400,4.8639000,0.04632000,2454967.02329300,3.30000000,1.590000,294.8351052,48.9823204,667.60400000,12.2445000
"TIC 122519154","Kepler-198 d","Kepler-198",1.31184443000,1.7729000,0.02628000,2454966.10921000,1.53000000,0.930000,290.6731326,38.6910045,495.35800000,13.0920000
"TIC 159642390","Kepler-783 b","Kepler-783",4.29264638000,2.6220000,0.00625000,2454967.79738000,0.78000000,0.890000,291.0628615,47.4847890,516.09000000,13.4322000
"TIC 123313142","Kepler-322 c","Kepler-322",4.33723400000,2.4540000,0.03756000,2454965.84959000,1.67000000,0.890000,281.3487514,44.2952525,400.48000000,12.9875000
"TIC 190998418","Qatar-5 b","Qatar-5",2.87923190000,2.9088000,1.12600000,2457336.75824200,12.40836300,1.076000,7.0539375,42.0613451,367.65800000,12.0401000
"TIC 124235800","TOI-4898 b","TOI-4898",2.76520470167,1.4486675,0.23900000,2458580.63858593,3.71979540,0.639344,197.3416711,-32.8294537,98.59580000,11.9277000
"TIC 63122176","Kepler-1365 b","Kepler-1365",7.69993485000,4.3900000,0.00709000,2454967.39328000,0.92000000,1.050000,292.1996573,42.0459944,840.12800000,12.9078000
"TIC 78055054","HATS-43 b","HATS-43",4.38884970000,2.9884800,2.49645478,2457636.08946000,13.22662000,0.812000,80.5382418,-30.9708179,362.27300000,12.8461000
"TIC 48448369","Kepler-134 b","Kepler-134",5.31742900000,2.9010000,0.02842000,2455004.87608000,2.00000000,1.176000,284.7391156,49.5984448,334.79700000,11.8216000
"TIC 437242640","WASP-34 b","WASP-34",4.31768000000,2.1024000,1.30000000,2458654.36450000,11.20900000,0.910000,165.3993679,-23.8609457,132.09600000,9.7566000
"TIC 122374620","Kepler-156 b","Kepler-156",4.97345600000,1.5790000,0.07416000,2455003.88529000,2.30000000,0.807000,290.2964214,37.7494271,443.48300000,13.5698000
"TIC 189625051","HATS-64 b","HATS-64",4.90889700000,5.8056000,0.55488280,2457769.82287000,18.81991100,2.113000,144.2876092,-29.8004440,1080.15000000,12.4870000
"TIC 27914389","Kepler-524 c","Kepler-524",1.88897906000,3.2460000,0.00590000,2454965.09740000,0.96000000,1.100000,296.8591787,49.1620125,1058.24000000,13.4203000
"TIC 320419023","TIC 320419023 b","TIC 320419023",5.26375651589,2.9457110,,2459555.64733255,2.77280763,0.952319,118.0726215,11.8241773,288.89300000,11.6383000
"TIC 380887434","TOI-4527.01","TOI-4527",0.39944450000,0.8028796,0.03308174,2459474.20024300,0.90866170,0.485948,19.4722574,5.4711996,18.10370000,9.1676400
"TIC 51664268","K2-255 b","K2-255",1.96417000000,1.1000000,0.18300000,2457583.30150000,2.90000000,0.690000,189.9128532,-3.3705631,191.60800000,12.5851000
"TIC 27187218","Kepler-480 b","Kepler-480",4.91958379500,4.1876000,0.04257000,2454967.60275900,2.78000000,1.340000,294.4639165,49.7650473,847.50800000,12.8474000
"TIC 417931300","TOI-2068 b","TOI-2068",7.76891500000,2.0600000,0.09700000,2458683.42580000,1.82100000,0.535000,186.2735600,60.4183455,52.93280000,11.1806000
"TIC 436875934","HAT-P-52 b","HAT-P-52",2.75359530000,2.4072000,1.44600000,2455852.10326000,11.30988100,0.893000,42.7217412,29.0222492,361.15500000,13.1361000
"TIC 235078021","TOI-4747 b","TOI-4747",5.21924158592,2.6763556,0.15000000,2459196.39359501,3.95803201,0.988751,86.4276650,-45.0292291,304.61500000,11.8128000
"TIC 14614418","HATS-18 b","HATS-18",0.83784000000,1.9440000,2.13557851,2458217.64374000,14.89676100,1.020000,173.9574203,-29.1560639,624.36800000,13.3898000
"TIC 171882123","Kepler-48 c","Kepler-48",9.67395000000,3.2870000,0.09527000,2454958.33925000,2.71000000,0.890000,299.1393094,40.9489390,306.73800000,12.5074000
"TIC 26474039","Kepler-889 b","Kepler-889",3.74443900000,2.9492000,0.00733000,2454966.56063000,1.09000000,1.250000,291.4674540,50.7595597,598.31300000,12.2580000
"TIC 9155187","XO-5 b","XO-5",4.18775580000,3.1176000,1.08000000,2456864.31290000,12.78000000,1.130000,116.7163868,39.0944695,276.21100000,11.4556000
"TIC 63282889","Kepler-1825 b","Kepler-1825",1.02586996600,0.8069000,0.02707000,2454964.65551000,1.42200732,0.847000,292.5140647,42.6517554,430.25400000,13.7731000
"TIC 123231081","Kepler-431 c","Kepler-431",8.70300000000,4.8070000,0.00320000,2454973.15531000,0.66800000,1.092000,281.1123072,43.2277663,486.54600000,11.5319000
"TIC 230055368","TOI-5720 b","TOI-5720",1.43445550000,1.0200000,0.07250000,2460076.90250100,1.09000000,0.383000,170.3135774,25.2732942,35.82560000,11.6196000
"TIC 184554925","Kepler-472 b","Kepler-472",4.17625551400,3.7012000,0.13601000,2454966.09034100,3.22000000,0.780000,296.5245187,39.2498503,306.60200000,13.0169000
"TIC 270521167","Kepler-1275 b","Kepler-1275",3.65691115000,2.1140000,0.01181000,2454967.95397000,1.48000000,1.360000,293.5004955,44.9324455,1153.98000000,13.9869000
"TIC 376879052","K2-386 b","K2-386",7.47322300000,3.5568000,0.06610000,2457395.90560000,2.32000000,0.970000,18.2999964,7.0130302,428.78500000,12.5343000
"TIC 102192004","WASP-174 b","WASP-174",4.23370050000,2.0940000,0.86000000,2458545.52660000,16.10730527,1.347000,195.7940145,-41.3848617,410.14900000,11.3287000
"TIC 219015370","TOI-1294 b","TOI-1294",3.91529200000,3.0331397,0.33500000,2459393.00711000,10.12369881,1.556600,223.0926408,70.4765573,332.64800000,10.9458000
"TIC 168811794","Kepler-1783 b","Kepler-1783",8.27744007100,2.7043000,0.01859000,2454971.25508000,1.31946731,1.781000,297.0210984,41.3771655,264.07800000,12.5126000
"TIC 137414304","Kepler-625 b","Kepler-625",7.75192492000,3.4849000,0.04060000,2455009.17270000,1.99000000,0.960000,292.1504723,39.6375254,760.70800000,12.8255000
"TIC 422685031","K2-407 b","K2-407",4.94190700000,2.9000000,,2457993.51010000,1.28300000,0.927000,232.5552584,-23.0067371,218.37600000,11.4565000
"TIC 267667295","KOI-351 b","KOI-351",7.00815100000,3.9900000,0.01164000,2454970.69060000,1.31000000,1.200000,284.4334642,49.3051239,848.25400000,13.3396000
"TIC 262662119","WASP-151 b","WASP-151",4.53347750000,3.6643000,1.06640000,2457763.67624100,13.30506009,1.181000,349.0634651,0.3066895,453.09900000,12.1796000
"TIC 68007716","TOI-2587 A b","TOI-2587 A",5.45664000000,4.1620000,0.41100000,2458950.09242000,12.07207221,1.726000,115.9317105,-1.0733330,373.67500000,10.9657000
"TIC 158923465","Kepler-60 b","Kepler-60",7.13340000000,4.3680000,0.01450000,2456462.27960000,1.71000000,1.257000,288.9612535,42.2650472,1025.10000000,13.4729000
"TIC 120251654","Kepler-1818 b","Kepler-1818",4.64490985900,3.3660000,0.01474000,2454969.02655000,1.71360684,1.129000,284.3284866,40.5688741,1034.59000000,13.8452000
"TIC 239289191","Kepler-1518 c","Kepler-1518",9.63102580000,5.2550000,0.02972000,2454965.72730000,2.90000000,1.345000,300.3323404,44.9861065,903.51000000,12.8852000
"TIC 48304653","Kepler-101 c","Kepler-101",6.02976000000,3.8700000,0.00546000,2454965.48600000,1.25000000,1.560000,283.2555070,48.3552474,927.98100000,13.0805000
"TIC 417646390","TOI-4137 b","TOI-4137",3.80161220000,3.4296000,0.74900000,2458990.46651000,13.57407563,1.438000,77.6128790,70.3910790,334.99300000,10.8557000
"TIC 121108727","Kepler-475 b","Kepler-475",3.10550818900,1.7210000,0.09109000,2454966.21043600,2.49000000,0.790000,287.0516940,40.2114232,280.06900000,12.6882000
"TIC 122293639","Kepler-887 c","Kepler-887",7.63846023000,3.9710000,0.00717000,2454971.24467000,1.13000000,1.290000,290.0907893,39.8169085,886.58800000,13.0693000
"TIC 272180236","Kepler-1947 b","Kepler-1947",6.96363019900,3.1760000,0.00681000,2454966.01421000,1.01016660,1.686000,296.1040313,42.3425818,468.77100000,12.4445000
"TIC 137555923","Kepler-1827 b","Kepler-1827",3.70061993600,5.4080000,0.00686000,2454966.16065000,1.85644292,1.404000,292.2525301,40.7927895,686.46100000,12.4638000
"TIC 137906197","TOI-1768.01","TOI-1768",7.33770364900,4.5639000,0.07950000,2459627.02240000,3.45300000,1.100000,152.1027826,55.5399599,157.59700000,9.9100800
"TIC 281575427","TOI-205 b","TOI-205",4.25300773815,3.3953599,0.02611394,2459096.12263072,2.50121142,1.453820,7.9754636,-56.9650808,177.75900000,9.4525000
"TIC 345063080","K2-401 b","K2-401",6.29309900000,1.9000000,,2457906.95310000,2.26200000,0.675000,154.9876040,3.9548275,200.72700000,12.9442000
"TIC 289661991","TOI-3807 b","TOI-3807",2.89897270000,1.7800000,1.36000000,2459218.13454000,18.49481816,1.468000,139.1125648,69.0741284,421.74500000,11.5817000
"TIC 272945038","Kepler-931 b","Kepler-931",8.03755877000,2.7866000,0.02865000,2454972.35639000,1.33000000,0.810000,297.1326937,42.7682885,490.00000000,13.8613000
"TIC 122375047","Kepler-19 b","Kepler-19",9.28699000000,3.3652000,0.06917000,2454959.70740000,2.20900000,0.859000,290.4209694,37.8516556,218.56200000,11.3992000
"TIC 186814470","K2-338 b","K2-338",3.85061400000,1.7800000,0.03910000,2457141.52634900,1.03000000,0.630000,124.3609294,17.0241557,156.95100000,12.3552000
"TIC 150030205","TOI-286 b","TOI-286",4.51172440000,2.0400000,0.03061300,2460186.64911000,1.42000000,0.780000,90.9842762,-60.6663348,59.22930000,9.1059000
"TIC 236445129","KELT-16 b","KELT-16",0.96899510000,2.4888000,1.14600000,2457247.24791000,15.86073500,1.360000,314.2685227,31.6610186,444.58600000,11.4373000
"TIC 393414358","WASP-63 b","WASP-63",4.37808000000,5.3900978,0.61000000,2458574.77102000,15.80469000,1.860000,94.3363562,-38.3233826,290.68400000,10.4390000
"TIC 427685831","WASP-52 b","WASP-52",1.74977980000,1.8096000,2.71000000,2455793.68143000,14.24000000,0.790000,348.4947931,8.7610793,174.81800000,11.3819000
"TIC 1129033","WASP-77 A b","WASP-77 A",1.36002939500,2.1652751,1.94276945,2459957.33786000,13.56000000,0.910000,37.1555223,-7.0606675,105.16600000,9.6271300
"TIC 332064670","55 Cnc e","55 Cnc",0.73654740000,1.5439000,0.03846733,2457063.20960000,1.87500000,0.943000,133.1468373,28.3298154,12.58550000,5.2058000
"TIC 467929202","GJ 1214 b","GJ 1214",1.58040453100,0.8696600,1.34300000,2459639.78126190,2.73300000,0.216200,258.8313991,4.9606795,14.64270000,11.5810000
"TIC 138819293","GJ 436 b","GJ 436",2.64388312000,1.0053600,0.68190000,2454510.80162000,4.17000000,0.455000,175.5505363,26.7030669,9.75321000,8.4034600
"TIC 198108326","HAT-P-12 b","HAT-P-12",3.21305980000,2.3376000,1.97700000,2454419.19556000,10.74900000,0.701000,209.3886452,43.4933100,142.75100000,11.7551000
"TIC 20096620","HAT-P-13 b","HAT-P-13",2.91625000000,3.2868100,0.72577025,2454779.92976000,14.25800000,1.756000,129.8823772,47.3519076,246.81000000,9.9596000
"TIC 101721385","HAT-P-14 b","HAT-P-14",4.62767000000,2.1888000,0.65000000,2457304.81275000,15.91678000,1.820000,260.1161719,38.2421682,222.66300000,9.5441700
"TIC 21744120","HAT-P-18 b","HAT-P-18",5.50802300000,2.7144000,2.15847573,2454715.02174000,11.15300000,0.749000,256.3463760,33.0123251,161.40000000,11.7330000
"TIC 346338552","HAT-P-1 b","HAT-P-1",4.46529976000,2.8500000,1.44400000,2453979.93202000,14.78467100,1.174000,344.4453632,38.6749190,158.97900000,9.7603100
"TIC 420779000","HAT-P-26 b","HAT-P-26",4.23452000000,2.4552000,0.54000000,2456901.05945800,7.06167000,0.870000,213.1565508,4.0594175,141.83700000,10.9016000
"TIC 455135327","HAT-P-30 b","HAT-P-30",2.81060000000,2.2499254,1.30000000,2457775.21277800,16.14096000,1.310000,123.9498431,5.8368669,213.98500000,9.9390800
"TIC 292152376","HAT-P-32 b","HAT-P-32",2.15000820000,3.1204800,2.21600000,2455867.40274300,22.19382000,1.367000,31.0427614,46.6878512,289.20500000,10.7696000
"TIC 255930614","HD 149026 b","HD 149026",2.87589000000,3.1400000,0.29000000,2457217.64141000,8.29466000,1.410000,247.6229827,38.3475349,75.86430000,7.6262000
"TIC 256364928","HD 189733 b","HD 189733",2.21857567000,1.8233621,2.40000000,2453955.52555110,12.66617000,0.750000,300.1821223,22.7097759,19.76380000,6.8481000
"TIC 420814525","HD 209458 b","HD 209458",3.52474859000,3.0720000,1.50000000,2451659.93742000,15.58051000,1.190000,330.7950219,18.8842419,48.30160000,7.1274000
"TIC 159742538","TrES-4 b","TrES-4",3.55395000000,3.6341388,0.98000000,2460478.71288500,18.04649000,1.660000,268.3043361,37.2117397,515.98000000,11.1116000
"TIC 86396382","WASP-12 b","WASP-12",1.09141890100,3.0010000,1.53777921,2457607.51930500,22.02564708,1.690000,97.6366450,29.6722662,427.24600000,11.0967000
"TIC 111991770","WASP-15 b","WASP-15",3.75210000000,3.7128000,0.97000000,2456036.76051000,15.80469000,1.480000,208.9280111,-32.1597118,282.09100000,10.4445000
"TIC 66818296","WASP-17 b","WASP-17",3.73543000000,4.4232000,1.70000000,2454592.80154000,20.96083000,1.490000,239.9622479,-28.0617941,405.90800000,11.0261000
"TIC 100100827","WASP-18 b","WASP-18",0.94145223000,2.2100000,1.04100000,2456740.80560000,13.89913607,1.319000,24.3544618,-45.6777937,123.48300000,8.8287000
"TIC 35516889","WASP-19 b","WASP-19",0.78883852000,1.6070000,2.07700000,2456402.71280000,15.86070769,1.006000,148.4167672,-45.6591078,268.32500000,11.6044000
"TIC 229047362","WASP-25 b","WASP-25",3.76483370000,2.7599960,2.22571184,2455274.99649000,13.80946422,0.884000,195.3597581,-27.5222273,211.41600000,11.2175000
"TIC 181949561","WASP-39 b","WASP-39",4.05529410000,2.8032000,2.34348052,2455342.96913000,14.33631100,0.939000,217.3266477,-3.4444994,213.98200000,11.3763000
"TIC 36734222","WASP-43 b","WASP-43",0.81347500000,1.1592000,2.55000000,2455528.86774000,10.42400000,0.600000,154.9081869,-9.8064431,86.74670000,11.1184000
"TIC 204376737","WASP-6 b","WASP-6",3.36100260000,2.5685869,2.40817811,2454596.43260000,12.54284940,0.790000,348.1571282,-22.6741248,197.11900000,11.4779000
"TIC 19028197","GJ 3470 b","GJ 3470",3.33664960000,1.8984000,0.67658704,2455983.70421000,4.57000000,0.547000,119.7735021,15.3912090,29.42140000,10.2479000
"TIC 102264230","WASP-47 b","WASP-47",4.15915100000,3.5722000,1.27120000,2459407.76198700,12.86000000,1.156000,331.2030920,-12.0190670,264.78000000,11.2900000
"TIC 243921117","WASP-80 b","WASP-80",3.06785234000,2.1310000,2.93700000,2456487.42500600,11.19779100,0.586000,303.1667996,-2.1444369,49.78760000,10.3622000
"TIC 276754403","WASP-103 b","WASP-103",0.92554200000,2.5930000,1.19500000,2456459.59957000,17.12700000,1.436000,249.3148604,7.1833758,375.64700000,11.7586000
"TIC 160148385","WASP-96 b","WASP-96",3.42526020000,2.4264000,1.38000000,2456258.06210000,13.45000000,1.050000,1.0465696,-47.3606352,352.46400000,11.9116000
"TIC 92352620","WASP-94 A b","WASP-94 A",3.95019000000,4.4880000,1.20000000,2458300.64763000,17.71022000,1.480000,313.7832393,-34.1357512,211.21100000,9.6433000
"TIC 248853232","WASP-69 b","WASP-69",3.86813881000,2.1869000,1.72599935,2455748.83428000,11.21000000,0.801000,315.0259661,-5.0948570,49.96050000,8.8628000
"TIC 350293646","WASP-84 b","WASP-84",8.52349648000,2.7600000,1.72300000,2457956.71194000,10.72000000,0.768000,131.1069959,1.8598933,100.58800000,10.0471000
"TIC 211438925","WASP-20 b","WASP-20",4.89964477000,3.0700000,1.09570000,2455715.66591000,15.46839337,1.242000,5.1605621,-23.9357894,211.87700000,10.2480000
"TIC 33521996","HATS-6 b","HATS-6",3.32527250000,2.0409600,3.23000000,2456643.74058000,11.18658200,0.570000,88.1468079,-19.0316268,169.31800000,13.3383000
"TIC 367366318","KELT-7 b","KELT-7",2.73477000000,3.5112000,0.83000000,2459109.13844700,17.93440000,1.810000,78.2955912,33.3179532,136.68100000,8.1484700
"TIC 358516596","KELT-8 b","KELT-8",3.24406000000,3.6774272,1.30000000,2457986.46737000,18.15858000,1.460000,283.3054489,24.1272483,197.57200000,10.2025000
"TIC 363445338","K2-22 b","K2-22",0.38107300000,0.5856000,0.62400000,2456846.94318000,2.30000000,0.580000,169.4827046,2.6190363,243.83600000,13.9558000
"TIC 102264230","WASP-47 d","WASP-47",9.03050100000,4.2880000,0.10700000,2457024.43010700,3.65000000,1.156000,331.2030920,-12.0190670,264.78000000,11.2900000
"TIC 102264230","WASP-47 e","WASP-47",0.78961000000,1.8990000,0.02580000,2457012.13666000,1.83000000,1.156000,331.2030920,-12.0190670,264.78000000,11.2900000
"TIC 101955023","GJ 1132 b","GJ 1132",1.62892911000,0.7664600,0.24430000,2459280.98988000,1.19151465,0.221100,153.7090696,-47.1549358,12.61300000,10.8372000
"TIC 293435336","WASP-76 b","WASP-76",1.80988198000,3.8000000,1.17800000,2458080.62616500,20.78145022,1.756000,26.6329360,2.7003890,194.45900000,9.0270600
"TIC 165297570","KELT-4 A b","KELT-4 A",2.98959320000,3.4627200,1.18700000,2456190.30201000,19.04409100,1.603000,157.0626200,25.5731366,218.05000000,9.6022000
"TIC 278892590","TRAPPIST-1 b","TRAPPIST-1",1.51082600000,0.6010000,0.73780000,2457322.51419300,1.11600000,0.119200,346.6263919,-5.0434618,12.42988881,13.8529000
"TIC 278892590","TRAPPIST-1 c","TRAPPIST-1",2.42193700000,0.7005000,0.71230000,2457282.81138710,1.09700000,0.119200,346.6263919,-5.0434618,12.42988881,13.8529000
"TIC 278892590","TRAPPIST-1 d","TRAPPIST-1",4.04921900000,0.8145000,0.36760000,2457670.14630140,0.78800000,0.119200,346.6263919,-5.0434618,12.42988881,13.8529000
"TIC 178217113","K2-34 b","K2-34",2.99563480000,2.4768000,0.74930000,2457141.35148340,13.75000000,1.420000,127.5787231,22.2359194,348.64600000,11.0514000
"TIC 22529346","WASP-121 b","WASP-121",1.27492504000,2.9053000,1.50180000,2460245.02038000,19.52604438,1.461000,107.6002312,-39.0972705,269.89800000,10.0560000
"TIC 318707987","HD 3167 b","HD 3167",0.95965451000,1.6360000,0.02884000,2458925.98237000,1.60100000,0.871000,8.7401487,4.3807215,47.28990000,8.2491000
"TIC 283419843","HAT-P-65 b","HAT-P-65",2.60544751000,4.3656000,1.11399639,2458139.35067000,18.05766791,1.666000,315.9054895,11.9893675,738.51900000,12.5375000
"TIC 271168962","WASP-131 b","WASP-131",5.32201250000,3.8450000,0.65170000,2458282.25880000,13.74221034,1.561000,210.1935714,-30.5836084,200.07500000,9.4719900
"TIC 159951311","WASP-139 b","WASP-139",5.92426200000,2.8320000,1.07000000,2457196.79330000,8.96720000,0.800000,49.5621730,-41.3020235,212.47200000,11.7276000
